schomburgk_line_title;The Schomburgk Line;;;;;;;;;;;;;
EVTDESC00047;\n\nThe_Dutch_have_refused_our_generous_offer,_and_we_have_no_choice_but_to_back_down.;;;;;;;;;;;;;
EVTOPTA00047;Wallonia is lost. §GLose 5 infamy§W;;;;;;;;;;;;;
EVTOPTB00048;What was that? Hand French territory over? §RGain 12 infamy§W;;;;;;;;;;;;;
EVTNAME00048;Victory in Belgium;;;;;;;;;;;;;
EVTDESC00048;\n\nOur_armies_have_emerged_victorious_in_Belgium,_as_expected._As_per_our_initial_agreement_before_entering_the_war,_the_Dutch_will_receive_Flanders_but_renounce_their_claim_on_Wallonia_to_allow_for_our_annexation_of_it.;;;;;;;;;;;;;
EVTOPTA00048;Cede to the Dutch what is theirs.;;;;;;;;;;;;;
EVTNAME00049;Instability of the Bourbon Regime;;;;;;;;;;;;;
EVTDESC00049;\n\nDespite_the_great_unpopularity_of_the_Bourbon_monarchy,_it_has_managed_to_weather_the_storm_of_public_opinion,_and_has_secured_itself_in_place_as_a_rightful_continuation_of_the_Ancien_Regime_before_it._However,_despite_this,_the_liberal_sect_of_the_populace_remains_at_great_odds_with_the_royalist_powers_that_be,_and_this_does_not_portend_the_end_of_instability_within_the_realm.;;;;;;;;;;;;;
EVTOPTA00049;We will endure.;;;;;;;;;;;;;
EVTNAME00050;Succession of Louis XIX;;;;;;;;;;;;;
EVTDESC00050;\n\nThe_late_Charles_X's_health_has_been_declining_rapidly_as_of_late,_and_with_his_old_age_it_has_become_apparent_that_his_end_is_nigh._As_such,_it_has_been_decided_that_Charles_X_will_abdicate_in_his_dying_days,_leaving_the_throne_to_his_heir_presumptive,_who_will_become_known_as_Louis_XIX._His_legacy_is_one_of_both_restoration_and_rot,_the_restoration_of_the_old_traditions_and_beliefs_of_France,_but_the_rot_of_the_very_same_liberties_that_the_French_people_attained_in_the_Revolution,_his_opposition_to_liberal_reforms_being_the_hallmark_of_his_reign._Nevertheless,_he_will_rest_with_his_fathers_before_him,_a_king_of_France.;;;;;;;;;;;;;
EVTOPTA00050;Long live the king!;;;;;;;;;;;;;
EVTNAME00051;The Death of Louis XIX;;;;;;;;;;;;;
EVTDESC00051;\n\nAfter_just_a_short_eight_years_of_rule,_Louis_XIX_has_been_found_dead_in_his_quarters._A_man_of_military_stature,_he_was_at_the_forefront_of_anti-Bonapartiste_sentiment_in_France,_and_was_a_major_spearhead_of_the_Bourbon_restoration_in_France_when_he_landed_in_Bourdeaux,_and_subsequently_led_Royaliste_forces_under_the_king_for_many_years,_even_intervening_in_Spain_during_its_own_tumultuous_fight_against_liberal_elements._Now,_however,_after_such_a_short_reign,_and_in_the_midst_of_ever-increasing_liberal_agitation,_he_leaves_his_throne_to_Henri_V.;;;;;;;;;;;;;
EVTOPTA00051;May his reign last.;;;;;;;;;;;;;
EVTNAME00056;The Land Crisis;;;;;;;;;;;;;
EVTDESC00056;\n\nIn_the_years_following_the_Bourbon_Restoration,_fears_have_spiked_amongst_peasants_that_noble_elites'_old_feudal_privileges_will_be_restored,_and_the_rights_granted_to_the_people_by_the_French_Revolution_will_be_done_away_with_by_the_Ancien_Regime._In_recent_months_this_fear_has_appeared_to_become_quite_justified,_as_a_controversy_rocks_the_kingdom_regarding_a_legal_dispute_between_a_petty_nobleman_and_a_small_collective_of_businessmen_over_a_territory_they_bought,_albeit_from_peasants_confiscated_it_from_the_nobleman_during_the_Revolution._The_nobleman_demanded_that_the_land_be_returned_to_him,_as_well_as_the_profits_of_the_unlawful_sale,_citing_his_rightful_ownership_of_the_land._The_courts,_staffed_with_royalist_sympathizers,_quickly_ruled_in_favor_of_the_nobleman._This_event_has_become_a_fiasco,_not_just_as_other_noblemen_similarly_deprived_of_land_and_status_have_begun_making_demands_of_a_similar_caliber,_but_as_liberals_have_become_increasingly_agitated.;;;;;;;;;;;;;
EVTOPTA00056;This does not bode well.;;;;;;;;;;;;;
EVTNAME00057;Nobility in the Army;;;;;;;;;;;;;
EVTDESC00057;\n\nUp_until_recently,_France_has_been_reliant_on_a_military_structure_inherited_from_the_days_of_the_Bonaparte_usurpation,_promoted_via_merit_rather_than_social_status,_and_a_conscription_system_that_allows_for_a_much_larger_military_than_the_purely_standing_armies_of_days_gone_past._However,_these_reforms_have_come_at_a_great_cost_to_the_political_stability_of_the_French_realm,_as_many_of_the_officers_are_no_longer_loyal_to_the_king,_and_most_have_their_loyalties_placed_with_the_Bonapartes_they_were_hired_from._This_has_caused_for_the_French_realm_a_situation_wherein_the_keys_to_maintaining_government_power_are_largely_placed_in_the_hands_of_those_that_do_not_want_to_see_the_current_government_in_power_to_begin_with._The_current_administration_has_therefore_suggested_a_series_of_reforms,_seeking_to_dissolve_the_levy_en_masse_altogether,_and_initiate_a_purge_of_Bonapartiste_sympathizers_in_the_military_staff._This_will_undoubtedly_weaken_the_military_unduly,_but_may_well_save_the_throne_from_future_insurrection.;;;;;;;;;;;;;
EVTOPTA00057;This is ludicrous!;;;;;;;;;;;;;
EVTOPTB00057;A brilliant plan!;;;;;;;;;;;;;
EVTNAME00058;Republican Coup;;;;;;;;;;;;;
EVTDESC00058;\n\nThe_army's_loyalties_have_been_held_in_question_for_a_long_time_now,_and_now_it_has_come_to_pass_that_these_fears_be_proven_justified._A_Republican_sect_of_the_army_has_committed_mutiny,_and_now_is_poised_to_seize_control_of_the_French_countryside_in_the_south_of_the_country._While_loyalist_support_in_the_military_flocks_north_to_regroup_around_Paris,_this_portends_a_civil_war_that_could_well_cripple_the_French_state_for_years_to_come.;;;;;;;;;;;;;
EVTOPTA00058;For the king!;;;;;;;;;;;;;
EVTNAME00059;Coup Attempt thwarted;;;;;;;;;;;;;
EVTDESC00059;\n\nThe_army's_loyalties_have_been_held_in_question_for_some_time,_even_after_the_reforms_passed_by_the_late_Louis_XIX_to_reorganize_their_structure_to_better_benefit_the_crown._As_of_recent,_those_fears_have_largely_been_put_to_rest,_as_a_planned_Republican_coup_was_swiftly_foiled_by_the_royal_army,_having_discovered_the_traitorous_plot_before_it_could_be_enacted._With_renewed_faith_in_the_armed_forces,_the_station_of_the_Bourbon_monarchy_is_finally_secure.;;;;;;;;;;;;;
EVTOPTA00059;Long Live the King!;;;;;;;;;;;;;
EVTNAME00060;Bourbon Victory;;;;;;;;;;;;;
EVTDESC00060;\n\nWith_the_guns_finally_going_silent_across_continental_France,_it_has_become_clear_now_that_the_Bourbon_realm_will_be_one_to_last._It_has_survived_the_liberal_onslaught_and_the_Ancien_Regime_remains_intact.;;;;;;;;;;;;;
EVTOPTA00060;Vive la Bourbon!;;;;;;;;;;;;;
EVTNAME00061;Republican Victory;;;;;;;;;;;;;
EVTDESC00061;\n\nAs_the_guns_go_silent_across_continental_France,_the_last_faction_standing_has_shown_itself_to_be_that_of_the_French_Republic._Liberalism_has_finally_triumphed,_and_the_Ancien_Regime_is_no_more!;;;;;;;;;;;;;
EVTOPTA00061;Vive La France!;;;;;;;;;;;;;
EVTNAME00062;The Arpitan Movement;;;;;;;;;;;;;
EVTDESC00062;\n\nOne_place_that_the_Bourbons_have_not_expected_to_see_resistance_is_the_region_of_Arpitania,_bordering_the_Swiss_Commonwealth._Yet,_as_of_late,_liberal_rebels_have_seized_control_of_a_decent_part_of_the_countryside,_rebelling_in_the_name_of_a_so-called_'Arpitan_Republic',_under_the_hopes_of_joining_Switzerland._These_odd_demands_have_left_the_government_baffled,_yet_we_have_little_choice_but_to_put_down_this_uprising.;;;;;;;;;;;;;
EVTOPTA00062;Put down the uprising!;;;;;;;;;;;;;
EVTOPTB00062;For Liberty!;;;;;;;;;;;;;
EVTNAME00064;Securing France;;;;;;;;;;;;;
EVTDESC00064;\n\nWith_the_liberals_soundly_defeated_in_France,_the_Bourbon_realm_has_found_itself_secure_in_its_position,_free_to_solve_its_internal_disputes_however_it_sees_fit._First_on_the_drawing_board_is_how_to_deal_with_the_liberal_rot_that_has_infested_the_French_crown_since_the_first_rioters_hit_the_streets_in_the_Revolution._While_the_most_radical_of_the_Legitimiste_supporters_in_the_realm_see_fit_to_wholly_do_away_with_all_liberalized_reform_and_bring_back_the_Ancien_Regime_in_full,_other_more_moderate_parties_see_this_as_a_surefire_way_to_simply_cause_another_such_crisis_again_in_the_future,_and_hope_to_chase_a_more_moderate_approach,_seeing_as_how_the_revolution_cannot_so_easily_be_undone._Still,_some_others_find_it_fit_to_seek_complete_reconciliation_with_the_liberals_of_the_realm,_and_remodel_the_Bourbon_monarchy_into_a_truly_modern,_liberalizing_force_that_the_French_people_can_surely_back.;;;;;;;;;;;;;
EVTOPTA00064;Le libéralisme est mort! §RGain 5 infamy§W;;;;;;;;;;;;;
EVTOPTB00064;Restauration par la modération.;;;;;;;;;;;;;
EVTOPTC00064;La liberté par la restauration!;;;;;;;;;;;;;
land_crisis_fixed_title;End the Land Crisis;;;;;;;;;;;;;
land_crisis_fixed_desc;The land crisis that began in the 1830s has become an increasingly large pain in the side of the Bourbon administration, torn between the pull of popular opinion and modernization, and the opinions of the aristocracy that make up the backbone of the monarchy's support. With the continuing introduction of more efficient technologies into the French economy, the government finally has an opportunity to bring a definitive end to the agricultural crisis.;;;;;;;;;;;;;
EVTNAME00065;Resolving the Land Crisis;;;;;;;;;;;;;
EVTDESC00065;\n\nThe_question_remains_as_to_whom_the_remaining_outstanding_claims_will_revert_to.;;;;;;;;;;;;;
EVTOPTA00065;The land rightfully belongs to the aristocracy.;;;;;;;;;;;;;
EVTOPTB00065;Maybe the Carlists were onto something...;;;;;;;;;;;;;
EVTOPTC00065;We shall simply forbid the reclamation efforts.;;;;;;;;;;;;;
EVTNAME00066;La Légion Royale;;;;;;;;;;;;;
EVTDESC00066;\n\nAs_the_years_have_worn_on_after_the_purge_of_the_upper_staff,_followed_by_extensive_investment_into_the_armed_forces_and_modernization_of_its_structure,_the_upper_staff_has_finally_recovered_from_the_purges_instituted_in_years_past,_and_furthermore_has_become_a_well-maintained_core_staff_akin_to_the_Prussian_model._While_the_army_may_never_be_able_to_reinstate_the_levy_en_masse,_for_fear_of_the_same_political_instability_coming_to_light_again,_the_professional_army_may_now_prove_sufficient_to_service_the_crown_well_enough.;;;;;;;;;;;;;
EVTOPTA00066;Finally, an army to be proud of.;;;;;;;;;;;;;
EVTOPTB00066;We are satisfied with simple loyalty.;;;;;;;;;;;;;
EVTNAME00075;German Policy;;;;;;;;;;;;;
EVTDESC00075;\n\nThe_Bourbon_realm,_always_fearing_for_its_continued_security,_has_a_unique_opportunity_in_front_of_it._Prussia_and_Austria_are_both_coming_to_blows_in_Central_Europe,_and_France_plays_a_key_role_in_the_region_that_could_decisively_shift_the_balance_of_power_in_its_favor._The_Bourbons,_always_keen_to_back_a_conservative_party_of_interest_in_Europe_to_secure_its_own_throne,_will_place_forth_an_offer_to_the_victorious_NGF_that_it_will_not_intervene_in_any_attempt_to_form_a_united_German_state,_and_in_return,_the_Germans_will_not_violate_its_rule_over_the_important_Alsace-Lorraine._This_could_only_go_well.;;;;;;;;;;;;;
EVTOPTA00075;Forward the offer.;;;;;;;;;;;;;
EVTOPTB00075;Are you insane?;;;;;;;;;;;;;
EVTNAME00076;Bourbon offer of neutrality;;;;;;;;;;;;;
EVTDESC00076;\n\nThe_Bourbon_realm_to_the_west_has_offered_to_willingly_relinquish_its_stake_in_Germany_for_merely_a_guarantee_of_remaining_neutral_on_the_province_of_Alsace-Lorraine._While_that_land_may_be_rightfully_German,_it_may_be_in_our_interests_to_allow_the_French_to_keep_that_territory,_if_that_forgoes_a_war_we_could_potentially_lose.;;;;;;;;;;;;;
EVTOPTA00076;Accept the offer.;;;;;;;;;;;;;
EVTOPTB00076;Refuse, it is ours as well.;;;;;;;;;;;;;
EVTNAME00077;$FROMCOUNTRY$ declines;;;;;;;;;;;;;
EVTDESC00077;\n\nThe_Prussians_have_refused_our_offer_to_remain_neutral,_and_have_thus_stated_their_intent_to_seize_Alsace-Lorraine_in_the_near_future._This_does_not_bode_well.;;;;;;;;;;;;;
EVTOPTA00077;How could it have possibly gone wrong?;;;;;;;;;;;;;
EVTNAME00078;The Treaty of Strasbourg;;;;;;;;;;;;;
EVTDESC00078;\n\nThe_Germans_have_accepted_our_deal_regarding_the_status_of_Alsace-Lorraine_and_the_recognition_of_a_united_Germany._While_they_may_reinstate_their_claims_later,_this_brings_peace_for_now,_which_is_all_that_matters.;;;;;;;;;;;;;
EVTOPTA00078;Peace in our time!;;;;;;;;;;;;;
EVTNAME00080;Confederazione Italiana;;;;;;;;;;;;;
EVTDESC00080;With_the_rise_of_the_Bourbon_Empire_as_a_unified_entity,_it_has_come_to_pass_that,_inevitably,_mutual_security_become_more_important_than_individual_squabbles_over_such_issues_as_Italian_unification._A_proposal_has_come_into_government_circles_of_a_Confederazione_Italiana,_a_confederation_of_the_Italian_states_into_a_single,_loosely_unified_state,_capable_of_withstanding_the_Bourbon_Empire,_or_at_least_do_so_more_reasonably_than_various_disunited_principalities.;;;;;;;;;;;;;
EVTOPTA00080;Send the Proposal.;;;;;;;;;;;;;
EVTOPTB00080;No need.;;;;;;;;;;;;;
EVTNAME00081;Joining the Confederazione Italiana;;;;;;;;;;;;;
EVTDESC00081;Event_to_make_sure_people_join_it.;;;;;;;;;;;;;
EVTOPTA00081;Accept.;;;;;;;;;;;;;
EVTOPTB00081;Only under our leadership. (emergency player option);;;;;;;;;;;;;
EVTOPTC00081;Refuse;;;;;;;;;;;;;
EVTNAME00082;Manifesto on German Unity;;;;;;;;;;;;;
EVTDESC00082;With_the_formation_of_the_Bourbon_Empire_on_the_border_of_the_German_Confederation,_fears_of_French_reprisal_against_Germany,_irrespective_of_any_prior_guarantees_or_relationships._The_German_realms_have_gathered_together_to_unite_into_a_single_federal_state,_without_respect_for_the_rivalry_between_Austria_and_Prussia_to_unify_under_a_single_banner,_under_hopes_of_stemming_the_tide_of_Bourbon_expansion.;;;;;;;;;;;;;
EVTOPTA00082;Send the proposal.;;;;;;;;;;;;;
EVTOPTB00082;We will weather this alone.;;;;;;;;;;;;;
EVTNAME00083;Manifesto on German Unity;;;;;;;;;;;;;
EVTDESC00083;Event_to_make_sure_everyone_gets_annexed;;;;;;;;;;;;;
EVTOPTA00083;Accept.;;;;;;;;;;;;;
EVTOPTB00083;But only under our leadership (player emergency option);;;;;;;;;;;;;
EVTOPTC00083;Refuse.;;;;;;;;;;;;;
EVTNAME00084;Manifesto on German Unity;;;;;;;;;;;;;
EVTDESC00084;Germany_is_uniting_due_to_the_Bourbon_threat,_with_or_without_us.;;;;;;;;;;;;;
EVTOPTA00084;Accept;;;;;;;;;;;;;
EVTOPTB00084;Only under our leadership (player emergency option);;;;;;;;;;;;;
EVTOPTC00084;Refuse.;;;;;;;;;;;;;
EVTNAME00085;Manifesto on German Unity;;;;;;;;;;;;;
EVTDESC00085;Germany_is_uniting_with_or_without_us._If_we_join,_our_empire_will_be_forfeit.;;;;;;;;;;;;;
EVTOPTA00085;Accept.;;;;;;;;;;;;;
EVTOPTB00085;Only under our leadership (Player emergency option);;;;;;;;;;;;;
EVTOPTC00085;Refuse.;;;;;;;;;;;;;
EVTNAME00086;The Declaration of Prague;;;;;;;;;;;;;
EVTDESC00086;In_the_aftermath_of_the_Bourbon_Empire's_declaration,_the_geopolitical_situation_in_Europe_has_rapidly_altered_its_course_in_response._Fears_of_a_Franco-Spanish_domineering_force_across_the_European_continent_has_spurred_on_a_fearful_response_unseen_since_the_days_of_Napoleon_Bonaparte_himself._The_brazen_violation_of_the_treaty_of_Utrecht_has_not_gone_unnoticed,_and_the_beginnings_of_an_international_coalition_have_come_into_being._A_declaration_has_been_issued_from_the_powers,_meeting_in_Prague,_declaring_the_state_of_the_Bourbon_Empire_to_be_an_illegitimate_construct_of_a_state_and_an_existential_threat_to_peace_in_Europe._It_is_expected_that_within_a_year,_the_empires_of_Europe_will_make_their_move._Whether_we_weather_the_storm_or_not_will_determine_if_the_Bourbon_Empire_has_a_future_in_the_world_to_begin_with.;;;;;;;;;;;;;
EVTOPTA00086;We will weather the storm.;;;;;;;;;;;;;
EVTNAME00087;The Second War of Spanish Succession;;;;;;;;;;;;;
EVTDESC00087;The_powers_of_Europe_have_now_made_their_move,_in_hopes_of_putting_an_end_to_the_personal_union_between_Spain_and_France._With_little_room_for_error_and_little_chance_of_leniency_should_the_French_nation_fail_to_assert_itself_for_a_third_time_in_recent_memory,_the_result_of_this_war_will_determine_the_fate_of_both_realms,_perhaps_for_the_rest_of_the_century.;;;;;;;;;;;;;
EVTOPTA00087;The storm has arrived.;;;;;;;;;;;;;
EVTNAME00088;The Coalition of Prague;;;;;;;;;;;;;
EVTDESC00088;As_per_the_Declaration_of_Prague_we_are_an_interested_party_to_the_dismantling_of_the_Bourbon_Empire._It_is_in_our_best_interest_to_take_part_in_this_war,_though_we_can_always_choose_to_back_out_if_it_is_necessary.;;;;;;;;;;;;;
EVTOPTA00088;We will go to war.;;;;;;;;;;;;;
EVTOPTB00088;We will back down.;;;;;;;;;;;;;
EVTNAME00089;The Peace of Lubeck;;;;;;;;;;;;;
EVTDESC00089;Despite_our_best_efforts,_the_realm_of_the_Bourbon_Empire_has_been_beaten_and_broken_by_the_vast_efforts_of_the_coalition_levied_against_it._In_the_aftermath_of_the_war,_the_Empire_has_been_forced_to_split_into_its_constituent_parts,_neither_of_which_permitted_to_house_the_House_de_Bourbon_any_longer,_but_rather_emplaced_under_responsible_governments_set_up_by_the_victors_to_ensure_this_situation_never_occurs_again._The_Empire_is_broken,_and_will_likely_never_rise_again.;;;;;;;;;;;;;
EVTOPTA00089;We have no choice.;;;;;;;;;;;;;
EVTNAME00116;Integrating Poland;;;;;;;;;;;;;
EVTDESC00116;Ever_since_the_Polish_Partition,_the_Poles_have_long_languished_under_foreign_rule,_including_our_own._However,_whilst_the_Prussians_and_Russians_have_oppressed_Poles_to_a_great_degree,_the_Austrian_Empire_has_given_to_them_a_relatively_light_burden,_compared_to_the_struggles_they_face_elsewhere._With_the_conquest_of_Poland_complete,_the_kingdom_can_be_integrated_into_the_empire_wholesale.;;;;;;;;;;;;;
EVTOPTA00116;Dissolve Galicia, Integrate Poland.;;;;;;;;;;;;;
EVTNAME00117;The Greek Revolution - Total Defeat;;;;;;;;;;;;;
EVTDESC00117;The_unthinkable_has_happened._Despite_our_best_efforts,_the_Greek_revolution_has_achieved_even_its_most_ludicrous_goals,_beating_us_back_time_and_time_again_across_the_Balkan_provinces_and_throwing_our_empire_into_utter_chaos._With_the_leadership_of_the_empire_crumbling_outright,_we_have_been_forced_to_come_to_terms_with_the_upstarts,_ceding_the_whole_of_our_Greek_balkan_provinces_and_the_Anatolian_coastline_to_the_upstart_rebels,_and_ceding_the_rest_of_our_disconnected_holdings_either_to_independent_states_or_to_the_very_same_Greeks._Our_empire_has_reached_a_low_unseen_ever_before,_and_this_humiliation_will_not_be_soon_forgotten.;;;;;;;;;;;;;
EVTOPTA00117;We have been ruined.;;;;;;;;;;;;;
EVTNAME00118;The Basileia tos Rhomaion;;;;;;;;;;;;;
EVTDESC00118;With_the_success_of_the_revolution_being_far_more_than_nigh_any_could_have_predicted,_the_beginnings_of_what_can_only_be_the_finest_hour_in_Rhomaion_history_are_at_hand._While_the_government_may_not_yet_be_formed,_only_a_provisional_government_under_various_bickering_revolutionary_leaders_present,_and_the_constitution_is_as_of_yet_a_greatly_new_concept,_the_ecstatic_Greek_citizens_have_already_taken_to_calling_the_newly_independent_state_the_'Basileia_tos_Rhomaion,'_the_new_Roman_Empire._With_the_city_of_Constantinople_in_Greek_hands,_and_the_Aegaean_sea_controlled_on_both_sides_by_the_meteorically_rising_state,_there_is_little_reason_to_not_accept_this_title_as_it_stands.;;;;;;;;;;;;;
